side,entry_time,entry_price,sltp,partial_taken,exit_time,exit_price,result,pnl_pct,equity_curve
LONG,2025-06-08 08:45:00,649.87,"TradeExit(trailing_stop=649.262605959931, sl=649.0, tp=651.0880000000001, sl_pct=0.0013387292843184092, tp_pct=0.0018742209980457728, partial_tp=650.74, partial_size=0.5)",False,2025-06-08 09:10:00,649.0,LOSS,,
LONG,2025-06-08 14:15:00,650.88,"TradeExit(trailing_stop=649.5867235692439, sl=650.88, tp=653.3019999999999, sl_pct=0.0026579400196657115, tp_pct=0.003721116027531996, partial_tp=652.61, partial_size=0.5)",False,2025-06-08 16:05:00,652.8,PARTIAL_50,0.14749262536872842,2.1679842661332898
LONG,2025-06-08 14:15:00,650.88,"TradeExit(trailing_stop=649.5867235692439, sl=650.88, tp=653.3019999999999, sl_pct=0.0026579400196657115, tp_pct=0.003721116027531996, partial_tp=652.61, partial_size=0.5)",True,2025-06-08 19:00:00,653.3019999999999,WIN,,
LONG,2025-06-08 21:00:00,655.33,"TradeExit(trailing_stop=654.3505845197071, sl=653.82, tp=657.4440000000001, sl_pct=0.00230418262554742, tp_pct=0.003225855675766388, partial_tp=656.84, partial_size=0.5)",False,2025-06-09 08:00:00,653.82,LOSS,,
LONG,2025-06-09 12:40:00,655.84,"TradeExit(trailing_stop=654.7288168288928, sl=654.53, tp=657.6740000000001, sl_pct=0.001997438399609751, tp_pct=0.002796413759453651, partial_tp=657.1500000000001, partial_size=0.5)",False,2025-06-09 13:35:00,654.53,LOSS,,
LONG,2025-06-09 14:30:00,655.12,"TradeExit(trailing_stop=653.6125149854934, sl=655.12, tp=658.942, sl_pct=0.004167175479301529, tp_pct=0.005834045671022141, partial_tp=657.85, partial_size=0.5)",False,2025-06-09 16:20:00,658.01,PARTIAL_50,0.2205702772011224,2.388554543334412
LONG,2025-06-09 14:30:00,655.12,"TradeExit(trailing_stop=653.6125149854934, sl=655.12, tp=658.942, sl_pct=0.004167175479301529, tp_pct=0.005834045671022141, partial_tp=657.85, partial_size=0.5)",True,2025-06-09 17:00:00,658.942,WIN,,
LONG,2025-06-09 18:55:00,659.44,"TradeExit(trailing_stop=658.148387068297, sl=659.44, tp=661.6100000000001, sl_pct=0.002350479194468137, tp_pct=0.0032906708722553915, partial_tp=660.9900000000001, partial_size=0.5)",False,2025-06-09 20:05:00,662.9,PARTIAL_50,0.2623438068664262,2.6508983502008383
LONG,2025-06-09 18:55:00,659.44,"TradeExit(trailing_stop=658.148387068297, sl=659.44, tp=661.6100000000001, sl_pct=0.002350479194468137, tp_pct=0.0032906708722553915, partial_tp=660.9900000000001, partial_size=0.5)",True,2025-06-09 20:05:00,661.6100000000001,WIN,,
LONG,2025-06-09 21:05:00,663.2,"TradeExit(trailing_stop=661.5445031165727, sl=663.2, tp=666.5040000000001, sl_pct=0.003558504221954182, tp_pct=0.004981905910735855, partial_tp=665.5600000000001, partial_size=0.5)",False,2025-06-09 21:25:00,665.82,PARTIAL_50,0.19752714113389658,2.848425491334735
