volume,atr_5,volume_ma_5,alt_btc_ratio,candle_range,rsi_7_prev,ema_14_prev,high,ema_7_prev,low,ema_14,volume_slope,lower_wick,body_size,ema_divergence,timestamp,binary_label
15023114.1,0.000664,29600570.440000016,3.109068879592163e-07,0.00041001,71.96104757840173,0.0265899625969847,0.0276,0.0267687879296538,0.02719,0.0266713009173867,-18431466.0,9.999999999999593e-06,8.99999999999998e-05,0.0002052900298536,2025-03-04 22:00:00+00:00,1
7900837.5,0.0005999999999999,24360787.16000001,3.110607710778331e-07,0.0002700099999999,67.33176225888064,0.0266713009173867,0.02732,0.0268765909472403,0.02705,0.0267351274617351,-7122276.6,9.99999999999994e-05,6.000000000000103e-05,0.0002098157486951,2025-03-04 23:00:00+00:00,1
11572384.1,0.0005959999999999,19432700.280000016,3.130171349519749e-07,0.0005100099999999,75.09098276253042,0.0267351274617351,0.02746,0.0269449432104302,0.02695,0.0267931104668371,3671546.6,0.0001899999999999,2.9999999999998778e-05,0.0002080969409855,2025-03-05 00:00:00+00:00,1
25578508.3,0.0005719999999999,18705884.82000001,3.161686069789171e-07,0.0007200099999999,65.10179316379097,0.0267931104668371,0.02771,0.0270012074078227,0.02699,0.0269153624045922,14006124.2,0.00017,0.0005499999999999,0.0002630431512748,2025-03-05 01:00:00+00:00,0
28270664.0,0.0005299999999999,17669101.600000016,3.2046536647438364e-07,0.0007400099999999,68.09296832962711,0.0269153624045922,0.02821,0.027178405555867,0.02747,0.0270639807506465,2692155.7,0.00025,0.0003099999999999,0.0003273234162537,2025-03-05 02:00:00+00:00,0
16855634.8,0.0006119999999999,18035605.740000017,3.1516499814608825e-07,0.00082001,67.940308219342,0.0270639807506465,0.02818,0.0273913041669002,0.02736,0.027104783317227,-11415029.2,9.999999999999593e-06,0.00065,0.0002811948079481,2025-03-05 03:00:00+00:00,0
12105486.0,0.0006059999999999,18876535.440000016,3.147869079020488e-07,0.00024001,64.25135855425393,0.027104783317227,0.02752,0.0273859781251752,0.02728,0.0271388122082634,-4750148.800000001,8.000000000000021e-05,9.999999999999593e-06,0.0002406713856179,2025-03-05 04:00:00+00:00,1
9897018.7,0.000562,18541462.36000001,3.141854621406518e-07,0.00029001,52.378769932205216,0.0271388122082634,0.02757,0.0273794835938814,0.02728,0.0271709705804949,-2208467.3000000007,7.000000000000062e-05,3.0000000000002247e-05,0.000208642114916,2025-03-05 05:00:00+00:00,1
13820388.8,0.000546,16189838.460000014,3.170643725257206e-07,0.00064001,55.55315511058174,0.0271709705804949,0.02781,0.027379612695411,0.02717,0.0272468411697623,3923370.1000000015,0.00021,0.0003599999999999,0.0002228683517959,2025-03-05 06:00:00+00:00,1
15829903.0,0.000458,13701686.260000017,3.1899295464970174e-07,0.00030001,65.28260633034034,0.0272468411697623,0.02799,0.0274697095215582,0.02769,0.0273405956804606,2009514.1999999995,6.000000000000103e-05,0.0001999999999999,0.000249186460708,2025-03-05 07:00:00+00:00,1
18217895.5,0.000394,13974138.400000015,3.221285323609845e-07,0.00050001,68.39396812369401,0.0273405956804606,0.02836,0.0275897821411687,0.02786,0.0274645162563992,2387992.5,7.000000000000062e-05,0.00034,0.0002953203494772,2025-03-05 08:00:00+00:00,1
31072931.5,0.000512,17767627.500000015,3.247464846729945e-07,0.00083001,64.73445715157865,0.0274645162563992,0.02901,0.0277598366058765,0.02818,0.0276332474222126,12855036.0,8.000000000000021e-05,0.0004699999999999,0.0003691300321947,2025-03-05 09:00:00+00:00,0
25795941.5,0.000588,20947412.060000014,3.254895938408072e-07,0.00067001,67.15455842201492,0.0276332474222126,0.02938,0.0280023774544074,0.02871,0.0278514810992509,-5276990.0,1.9999999999999185e-05,0.00054,0.0004678019915545,2025-03-05 10:00:00+00:00,0
35375862.9,0.000594,25258506.880000018,3.2188652447840693e-07,0.00067001,99.47553995427252,0.0278514810992509,0.02942,0.0283192830908055,0.02875,0.0279926169526841,9579921.4,0.00016,0.0003699999999999,0.0004743453654199,2025-03-05 11:00:00+00:00,0
22851784.2,0.000638,26662883.120000016,3.2084210927069895e-07,0.0005200099999999,84.13837458756782,0.0279926169526841,0.02931,0.0284669623181041,0.02879,0.0281256013589929,-12524078.7,0.00012,7.999999999999674e-05,0.0004721203795851,2025-03-05 12:00:00+00:00,0
23497999.0,0.000662,27718903.82000001,3.1942268763903494e-07,0.0006200099999999,84.54681619007155,0.0281256013589929,0.02904,0.0285977217385781,0.02842,0.0281861878444605,646214.8000000007,0.00016,0.0003999999999999,0.000407103459473,2025-03-05 13:00:00+00:00,0
25402346.9,0.0006199999999999,26584786.900000013,3.175556058392726e-07,0.0006200099999999,67.64506926266881,0.0281861878444605,0.02868,0.0285932913039335,0.02806,0.0281760294651991,1904347.8999999985,4.999999999999796e-05,0.00046,0.000296439012751,2025-03-05 14:00:00+00:00,0
36639480.2,0.0006279999999999,28753494.64000001,3.1796070485628666e-07,0.0007100099999999,53.02889696106544,0.0281760294651991,0.02855,0.0284724684779501,0.02784,0.0281645588698392,11237133.300000004,0.00025,1.9999999999999185e-05,0.0002122924886233,2025-03-05 15:00:00+00:00,1
36190880.6,0.0006079999999999,28916498.18000001,3.176779752903886e-07,0.0005700099999999,46.15246552453559,0.0281645588698392,0.02838,0.0283768513584626,0.02781,0.0281759510205273,-448599.6000000015,0.0002799999999999,0.00016,0.0001691874983196,2025-03-05 16:00:00+00:00,1
21619668.6,0.0006339999999999,28670075.060000014,3.195522611221413e-07,0.00065001,38.23398216727861,0.0281759510205273,0.02886,0.0283451385188469,0.02821,0.028240490884457,-14571212.0,4.000000000000184e-05,0.00041,0.0001833630046781,2025-03-05 17:00:00+00:00,0
17113677.0,0.0006019999999999,27393210.66000001,3.2203049759229534e-07,0.00046001,34.030166433690894,0.028240490884457,0.02892,0.0284238538891352,0.02846,0.0283270920998627,-4505991.6000000015,0.0002,0.0002299999999999,0.0002132983169886,2025-03-05 18:00:00+00:00,0
15862935.1,0.0005459999999999,25485328.300000016,3.237883008356546e-07,0.00034001,49.436258124680414,0.0283270920998627,0.02918,0.0285403904168514,0.02884,0.0284248131532144,-1250741.9000000004,3.999999999999837e-05,0.0001799999999999,0.0002454796594241,2025-03-05 19:00:00+00:00,0
