volume_ma_5,volume,atr_5,candle_range,ema_divergence,alt_btc_ratio,ema_14_slope,ema_7_slope,rsi_7,upper_wick,body_to_range,ema_divergence_slope,volume_slope,rsi_7_prev,rsi_7_slope,timestamp,binary_label
19080563.6,20343272.0,0.0618000000000001,0.0529000100000001,-0.0084957483725034,2.677471172920124e-05,-0.0044865862039458,-0.006889020651049,39.71316723705635,0.0175999999999998,0.289224898067132,-0.0024024344471031,-21693947.0,33.25511831168164,6.458048925374712,2025-02-21 16:00:00+00:00,1
21941767.6,18512544.0,0.0739400000000001,0.0814000100000003,-0.0168791391507037,2.6490148176946108e-05,-0.0120083747100867,-0.020391765488287,27.1091995818246,0.0097,0.7481571562460485,-0.0083833907782002,-1830728.0,39.71316723705635,-12.603967655231756,2025-02-21 17:00:00+00:00,0
20673393.0,10039005.0,0.0702200000000001,0.0319000099999998,-0.0209723718515104,2.667812402116683e-05,-0.0095005914154082,-0.013593824116215,32.55920910754938,0.0101999999999997,0.2163008726329535,-0.0040932327008067,-8473539.0,27.1091995818246,5.450009525724781,2025-02-21 18:00:00+00:00,0
21699092.4,17563422.0,0.07512,0.0757000099999998,-0.0287555607119842,2.650676480302117e-05,-0.0148871792266875,-0.0226703680871613,22.05352958950445,0.0078,0.6578598866763681,-0.0077831888604738,7524417.0,32.55920910754938,-10.505679518044928,2025-02-21 19:00:00+00:00,0
15918923.2,13136373.0,0.055,0.0331000100000001,-0.0325994481142264,2.6590930009335592e-05,-0.012608888663129,-0.0164527760653712,11.075657359635358,0.0210000000000003,0.0664652367174435,-0.0038438874022421,-4427049.0,22.05352958950445,-10.977872229869092,2025-02-21 20:00:00+00:00,0
13915119.2,10324252.0,0.0485,0.0204000099999999,-0.0330663266552098,2.6584194166090204e-05,-0.0098477035080448,-0.0103145820490282,16.421687027277954,0.0114,0.3970586288928401,-0.0004668785409833,-2812121.0,11.075657359635358,5.346029667642597,2025-02-21 21:00:00+00:00,0
13143527.4,14654585.0,0.03986,0.0382000100000002,-0.0290242534850082,2.6755432616602624e-05,-0.0048280097069723,-0.0007859365367708,35.20466395130728,0.008,0.7277485005893944,0.0040420731702015,4330333.0,16.421687027277954,18.782976924029327,2025-02-21 22:00:00+00:00,0
12764964.0,8146188.0,0.0379999999999999,0.0226000099999997,-0.0244610974748775,2.6742015500200765e-05,-0.0030776084127093,0.0014855475974213,32.43901054432469,0.0041999999999999,0.36725647466527,0.0045631560101306,-6508397.0,35.20466395130728,-2.7656534069825938,2025-02-21 23:00:00+00:00,0
10601958.0,6748392.0,0.03032,0.0373000100000001,-0.0194080094857964,2.685424786793075e-05,-0.0012139272910145,0.0038391606980665,56.22803564945187,0.0047999999999999,0.2895441582991562,0.0050530879890811,-1397796.0,32.43901054432469,23.78902510512718,2025-02-22 00:00:00+00:00,0
8917183.0,4712498.0,0.02792,0.0211000100000001,-0.0146365686433673,2.691586687338673e-05,-9.207031887958904e-05,0.0046793705235494,56.381084382203504,0.0085000000000001,0.341232065766775,0.004771440842429,-2035894.0,56.22803564945187,0.1530487327516354,2025-02-22 01:00:00+00:00,0
