atr_5,volume_ma_5,volume,candle_range,alt_btc_ratio,upper_wick,ema_14_slope,ema_14_prev,rsi_7,lower_wick_ratio,ema_divergence_slope,upper_wick_ratio,ema_divergence,lower_wick,body_to_range,timestamp,binary_label
0.0282,1322199.5380000002,1636415.0,0.0330000099999999,1.2634051568005443e-05,0.0109999999999998,-8.276844474219835e-05,1.1516207633355668,33.333304526773944,0.0,-0.002807204729768,0.3333332323232607,0.008131924632706,0.0,0.6666664646465281,2024-11-14 10:00:00+00:00,0
0.0264,1436378.7840000005,2174752.45,0.0330000100000001,1.2656863681643372e-05,0.0010000000000001,0.0008616006812234,1.1515379948908246,36.47055820071669,0.7878785491277097,-0.0012790805621061,0.0303030211202998,0.0068528440705999,0.026,0.1818181267217791,2024-11-14 11:00:00+00:00,0
0.0256,1319464.7000000004,850527.58,0.0210000099999999,1.2559844205325176e-05,0.0029999999999998,-0.0008532794096063,1.152399595572048,38.271571864073614,0.2380951247166032,-0.0024598305010556,0.1428570748299598,0.0043930135695442,0.0049999999999998,0.6190473242631874,2024-11-14 12:00:00+00:00,0
0.0282,1388117.1880000003,1303057.44,0.0310000100000001,1.2495259184070592e-05,0.014,-0.0023395088216588,1.1515463161624415,40.78943611499302,0.12903221644122,-0.0031453236113376,0.4516127575442701,0.0012476899582065,0.004,0.4193547034339687,2024-11-14 13:00:00+00:00,0
0.0403999999999999,2320961.424,5640054.65,0.0840000099999998,1.2443638713828208e-05,0.05,-0.0060275743121043,1.1492068073407828,21.87498404949079,0.0476190419501141,-0.005586050012643,0.5952380243764273,-0.0043383600544364,0.004,0.3571428146258537,2024-11-14 14:00:00+00:00,0
0.0403999999999999,2608017.7660000003,3071696.71,0.0330000099999999,1.2416429300999376e-05,0.0069999999999998,-0.006823897737157,1.1431792330286783,14.70587226067586,0.4242422956841542,-0.0048863205064035,0.2121211478420737,-0.00922468056084,0.014,0.3636362534435607,2024-11-14 15:00:00+00:00,1
0.0395999999999999,2464506.9320000005,1457198.28,0.0290000099999999,1.2388127084470548e-05,0.006,-0.0041807113722029,1.1363553352915214,18.691576556912423,0.3793102140309582,-0.0013519523104672,0.2068964803805248,-0.0105766328713072,0.0109999999999998,0.4137929607610496,2024-11-14 16:00:00+00:00,1
0.0379999999999999,2402490.3020000006,540444.43,0.0130000099999999,1.2303989215519837e-05,0.002,-0.0045566165225756,1.1321746239193184,21.50536015725568,0.3076920710061018,-0.0013428812394271,0.1538460355030509,-0.0119195141107344,0.004,0.5384611242606697,2024-11-14 17:00:00+00:00,1
0.0445999999999999,3211368.5880000005,5347448.87,0.06400001,1.2321635074241218e-05,0.0589999999999999,-0.003949067652899,1.1276180073967428,15.116266765829325,0.0781249877929724,-0.0004755556686031,0.921874855957052,-0.0123950697793375,0.0050000000000001,0.0,2024-11-14 18:00:00+00:00,0
0.0301999999999999,2228666.458,726544.0,0.01200001,1.236251591282705e-05,0.0,-0.0023558586325125,1.1236689397438435,25.609734235592725,0.333333055555787,0.0010373911413859,0.0,-0.0113576786379516,0.004,0.666666111111574,2024-11-14 19:00:00+00:00,0
0.0283999999999999,1807521.76,965973.22,0.02400001,1.2372641122869686e-05,0.0,-0.0049750774815107,1.1213130811113312,22.826069588860094,0.0416666493055674,-0.0015137731368342,0.0,-0.0128714517747858,0.0010000000000001,0.9583329340279396,2024-11-14 20:00:00+00:00,0
0.0271999999999999,1697068.5720000002,904932.34,0.0230000099999999,1.2422470072161405e-05,0.0069999999999998,-0.0027117338173094,1.1163380036298205,44.594552410558514,0.1739129678639278,0.0008450958535508,0.3043476937618689,-0.012026355921235,0.004,0.5217389035917835,2024-11-14 21:00:00+00:00,0
0.0314,1780478.2520000003,957492.83,0.03400001,1.2243266517199163e-05,0.002,-0.0054168359750015,1.113626269812511,38.82349743947261,0.2352940484429269,-0.0017331424978175,0.0588235121107317,-0.0137594984190525,0.008,0.7058821453287808,2024-11-14 22:00:00+00:00,0
0.0266,1065840.8220000002,1774261.72,0.04000001,1.2046869651839742e-05,0.0049999999999998,-0.0074945911783346,1.1082094338375097,21.505360157255826,0.3749999062500262,-0.0031178926762795,0.124999968750005,-0.0168773910953321,0.0150000000000001,0.4999998750000312,2024-11-14 23:00:00+00:00,0
0.0299999999999999,1103179.6700000002,913238.24,0.0290000099999999,1.180148871740123e-05,0.014,-0.0084953123545565,1.1007148426591749,19.80196647388459,0.0344827467300836,-0.003214050536404,0.4827584542212245,-0.0200914416317361,0.0009999999999998,0.4827584542212245,2024-11-15 00:00:00+00:00,0
0.0306,1248314.106,1691645.4,0.0270000100000001,1.18389552479546e-05,0.0010000000000001,-0.0065626040406157,1.0922195303046185,24.29904952398627,0.7407404663924168,-0.0007194181276048,0.0370370233196249,-0.020810859759341,0.02,0.222222139917725,2024-11-15 01:00:00+00:00,0
0.0308,1236253.5860000004,844629.74,0.02400001,1.1860024102556615e-05,0.002,-0.005020923501867,1.0856569262640026,22.115369730039674,0.6666663888890045,0.0008094068757016,0.0833332986111255,-0.0200014528836394,0.016,0.2499998958333767,2024-11-15 02:00:00+00:00,0
0.0272,1152888.752,540668.66,0.01600001,1.18796334679654e-05,0.002,-0.0043514670349513,1.0806360027621356,28.048756543744474,0.8124994921878104,0.0011928295653274,0.1249999218750488,-0.018808623318312,0.0129999999999999,0.0624999609375313,2024-11-15 03:00:00+00:00,0
0.0278,1013555.0620000002,1077593.27,0.0430000099999999,1.1617460356845844e-05,0.0009999999999998,-0.0080379380969577,1.0762845357271842,10.784306324495743,0.2325580854516086,-0.0023310400052602,0.0232558085451582,-0.0211396633235723,0.01,0.7441858734451476,2024-11-15 04:00:00+00:00,1
0.0276,998250.9240000002,836717.55,0.02800001,1.1809766996488987e-05,0.0009999999999998,-0.0042995463506967,1.0682465976302264,31.313109172549147,0.2499999107143215,0.0015228127740332,0.0357142729591842,-0.0196168505495391,0.0070000000000001,0.7142854591837645,2024-11-15 05:00:00+00:00,0
0.0258,772684.5600000003,563813.58,0.01800001,1.1884421281415043e-05,0.0049999999999998,-0.0021262735039373,1.0639470512795297,47.77774061731286,0.0,0.0030437233214397,0.2777776234568697,-0.0165731272280993,0.0,0.7222218209878833,2024-11-15 06:00:00+00:00,0
0.0237999999999999,693417.4340000001,448294.11,0.01400001,1.1870520020088573e-05,0.0049999999999998,-0.0029094370367457,1.0618207777755924,51.80718522285591,0.0714285204082076,0.0015975243998724,0.3571426020409906,-0.0149756028282268,0.0010000000000001,0.5714281632655976,2024-11-15 07:00:00+00:00,1
0.0254,729751.2680000002,722337.83,0.02400001,1.195463912656886e-05,0.0010000000000001,-0.0007881787651795,1.0589113407388466,55.55551234571262,0.458333142361186,0.0030542442875245,0.0416666493055674,-0.0119213585407023,0.0109999999999998,0.4999997916667534,2024-11-15 08:00:00+00:00,0
0.0204,769979.9520000002,1278736.69,0.01800001,1.1928787381585205e-05,0.0049999999999998,0.000783578403511,1.058123161973667,58.333290798642125,0.0555555246913813,0.0036659707382478,0.2777776234568697,-0.0082553878024544,0.0010000000000001,0.666666296296502,2024-11-15 09:00:00+00:00,0
0.0169999999999999,699794.4100000001,485789.84,0.0110000099999998,1.19523851891146e-05,0.0029999999999998,0.0012124346163762,1.058906740377178,59.9999580000294,0.3636360330581554,0.003124727239943,0.2727270247936065,-0.0051306605625114,0.004,0.3636360330581554,2024-11-15 10:00:00+00:00,0
0.0161999999999999,713840.8440000002,634045.75,0.01400001,1.1956597439861824e-05,0.0010000000000001,0.0017174433341926,1.0601191749935543,89.04101050862005,0.5714281632655976,0.0027854280580466,0.0714285204082076,-0.0023452325044648,0.008,0.3571426020409906,2024-11-15 11:00:00+00:00,0
0.0165999999999999,776248.888,760334.33,0.01600001,1.187692916537053e-05,0.0070000000000001,0.0005551175563003,1.061836618327747,74.99991250010217,0.1249999218750488,0.001072035987879,0.4374997265626777,-0.0012731965165857,0.002,0.4374997265626639,2024-11-15 12:00:00+00:00,0
0.0143999999999999,884489.0220000002,1263538.5,0.0130000099999999,1.182499889071305e-05,0.004,0.0004811018821269,1.0623917358840471,68.74989973972963,0.6153841420122037,0.0007392632760077,0.3076920710061018,-0.000533933240578,0.008,0.0769230177515169,2024-11-15 13:00:00+00:00,0
0.0163999999999999,885290.9800000001,1282746.48,0.02800001,1.1704900054967018e-05,0.002,-0.0026497117021566,1.0628728377661742,52.38089417995876,0.1071428188775607,-0.0021850144292423,0.0714285459183764,-0.0027189476698203,0.0029999999999998,0.8214282780613332,2024-11-15 14:00:00+00:00,0
0.0193999999999999,1116744.5540000002,1643057.71,0.0250000100000001,1.1611682279498731e-05,0.0,-0.004429750141869,1.0602231260640176,30.302998163486805,0.3999998400000622,-0.0031962944566801,0.0,-0.0059152421265005,0.01,0.5999997600000977,2024-11-15 15:00:00+00:00,0
0.022,1217056.576,1135605.86,0.0270000100000001,1.1490781808402903e-05,0.0130000000000001,-0.0038391167896199,1.0557933759221485,16.36361553721642,0.481481303155075,-0.001880416659292,0.481481303155075,-0.0077956587857925,0.0130000000000001,0.0370370233196167,2024-11-15 16:00:00+00:00,1
