volume_ma_5,volume,atr_5,alt_btc_ratio,ema_divergence,ema_14_prev,high,rsi_7,rsi_7_slope,ema_7,rsi_7_prev,lower_wick,candle_range,ema_7_prev,body_to_range,timestamp,binary_label
6193.175599999995,5679.686,3.9,0.009178527013956,-2.9589335349875228,535.6479545460058,532.3,40.8450702211863,10.845070361185982,532.1226270715509,29.999999860000315,1.2000000000000457,3.3000000099999545,532.3635027620679,0.3636363625344196,2024-09-17 01:00:00+00:00,0
5521.0453999999945,4039.319,3.920000000000005,0.0091903161152132,-2.33371555533688,535.0815606065385,535.0,54.14012714714611,13.295056925959813,532.6169703036632,40.8450702211863,0.1000000000000227,3.6000000100000227,532.1226270715509,0.7222222202160512,2024-09-17 02:00:00+00:00,0
5935.440799999995,5994.067,4.040000000000009,0.009214605580434,-1.7445333500526203,534.950685859,535.6,71.21212083448101,17.071993687334903,533.2127277277474,54.14012714714611,0.8000000000000682,2.300000010000068,532.6169703036632,0.3913043461247422,2024-09-17 03:00:00+00:00,0
5098.147599999995,3058.745,3.4200000000000044,0.0092074976466199,-1.151747138282758,534.9572610778,536.8,71.64179067052764,0.429669836046628,533.9845457958106,71.21212083448101,0.1000000000000227,1.9000000099999768,533.2127277277474,0.6842105227146658,2024-09-17 04:00:00+00:00,0
4905.494599999994,5755.656,3.0,0.0092031821148936,-0.3313778626896919,535.1362929340934,540.1,78.31325268181163,6.671462011283992,535.413409346858,71.64179067052764,0.0,3.900000009999977,533.9845457958106,0.897435895134785,2024-09-17 05:00:00+00:00,0
4877.527399999994,5539.85,2.880000000000018,0.0091967583093968,0.0029080952022013,535.7447872095477,540.0,63.999999701333,-14.31325298047863,536.0350570101435,78.31325268181163,0.6000000000000227,2.7000000100000454,535.413409346858,0.666666664197545,2024-09-17 06:00:00+00:00,0
5157.284399999994,5438.104,2.5200000000000045,0.0091744854238126,0.2900970313251036,536.0321489149413,538.9,84.99999950416624,20.99999980283324,536.6512927576076,63.999999701333,0.7999999999999545,1.8000000099999545,536.0350570101435,0.3333333314815025,2024-09-17 07:00:00+00:00,0
6095.737999999994,10686.335,2.3999999999999773,0.0091696149135936,0.5370999387607753,536.3611957262825,539.8,84.0707959393841,-0.9292035647821422,537.2634695682057,84.99999950416624,0.5,1.7000000099999315,536.6512927576076,0.2941176453287315,2024-09-17 08:00:00+00:00,0
7276.300199999995,8961.556,2.7399999999999864,0.009157745213891,0.7847484973020755,536.7263696294449,541.5,81.05263098171696,-3.018164957667139,537.9476021761543,84.0707959393841,1.2000000000000457,3.6000000100000227,537.2634695682057,0.2499999993055476,2024-09-17 09:00:00+00:00,0
7642.761599999993,7587.963,2.7399999999999864,0.0091717874265649,1.3045617771103937,537.1628536788522,543.4,84.87394908057296,3.821318098855997,539.2857016321157,81.05263098171696,0.6000000000000227,3.900000009999977,537.9476021761543,0.8205128184089288,2024-09-17 10:00:00+00:00,0
9200.016599999994,13326.125,2.859999999999991,0.0091907735466179,1.5639550164154343,537.9811398550053,544.6,80.73394443565351,-4.140004644919443,540.2142762240867,84.87394908057296,1.7000000000000457,3.300000010000068,539.2857016321157,0.0909090906335931,2024-09-17 11:00:00+00:00,0
9945.909799999994,9167.57,3.160000000000013,0.0091796884867407,1.9254287880831955,538.6503212076713,546.1,78.12499943033836,-2.608945005315149,541.435707168065,80.73394443565351,0.2000000000000454,3.300000010000068,540.2142762240867,0.6363636344352555,2024-09-17 12:00:00+00:00,0
9584.489599999995,8879.234,3.940000000000032,0.0091679951158294,1.5712057800644743,539.5102783799819,545.2,60.975609409082125,-17.149390021256238,541.2267803760487,78.12499943033836,1.0,5.600000010000023,541.435707168065,0.7857142843112173,2024-09-17 13:00:00+00:00,0
12350.284399999997,22790.53,5.320000000000027,0.0090715748416539,2.0002539655167766,539.6555745959843,550.9,73.03370757795751,12.05809816887539,542.5950852820365,60.975609409082125,0.2000000000000454,10.50000001,541.2267803760487,0.5809523803990951,2024-09-17 14:00:00+00:00,0
15348.482999999993,22578.956,5.740000000000032,0.0089980453255473,2.6091268205435654,540.5948313165197,552.7,76.69902886558594,3.66532128762843,544.4713139615274,73.03370757795751,0.0,5.900000010000091,542.5950852820365,0.5593220329503046,2024-09-17 15:00:00+00:00,0
15468.101999999992,13924.22,6.1600000000000135,0.0089792235944952,2.5095899489595013,541.8621871409838,551.1,64.22413773725484,-12.474891128331109,545.0034854711455,76.69902886558594,0.8999999999999773,5.400000009999977,544.4713139615274,0.6481481469478766,2024-09-17 16:00:00+00:00,0
