atr_5,candle_range,volume,ema_divergence,ema_14_slope,volume_ma_5,alt_btc_ratio,body_size,upper_wick,ema_14,rsi_7,ema_7_prev,upper_wick_ratio,high,volume_slope,timestamp,binary_label
0.0337999999999999,0.0290000099999999,96842.52,-0.0106057019236622,-0.0031418145100339,173347.94799999963,3.325965936624629e-05,0.0150000000000001,0.0049999999999998,2.8344217943152223,34.95143255727881,2.8270881231887466,0.1724137336504335,2.834,-42236.92,2025-04-02 04:00:00+00:00,0
0.0339999999999999,0.0340000100000002,149128.45,-0.0137201524461891,-0.006589572575363,165207.92799999964,3.3115338882283e-05,0.028,0.0,2.82783222173986,24.99998632813248,2.82381609239156,0.0,2.813,52285.93000000001,2025-04-02 05:00:00+00:00,0
0.0346,0.03200001,267405.62,-0.0173872068709588,-0.0081109628986482,180466.88799999963,3.2891143391001994e-05,0.0169999999999999,0.0130000000000003,2.819721258841211,23.880584539993123,2.81411206929367,0.406249873046925,2.797,118277.16999999998,2025-04-02 06:00:00+00:00,0
0.0355999999999999,0.0470000100000001,304301.45,-0.0162745520180269,-0.0036961678454949,191351.49599999964,3.3070251898904046e-05,0.0259999999999998,0.0180000000000002,2.816025090995716,42.22220032922934,2.802334051970252,0.3829786419194417,2.81,36895.830000000016,2025-04-02 07:00:00+00:00,0
0.0356,0.0350000100000001,191253.97,-0.0154755079630204,-0.0037366787994286,201786.40199999965,3.2925099885399865e-05,0.0050000000000003,0.0179999999999997,2.8122884121962874,38.8059498774888,2.799750538977689,0.5142855673469727,2.811,-113047.48,2025-04-02 08:00:00+00:00,0
0.0366,0.0340000099999998,185454.53,-0.0126902790618323,-0.0012384549595045,219508.80399999965,3.296886059947104e-05,0.016,0.0169999999999999,2.811049957236783,50.37591333598542,2.796812904233267,0.4999998529412197,2.82,-5799.440000000002,2025-04-02 09:00:00+00:00,0
0.0362,0.0330000099999999,122028.28,-0.0126735376406661,-0.0036066609649041,214088.76999999964,3.2803914600475654e-05,0.0180000000000002,0.0129999999999999,2.8074432962718787,31.999982080009943,2.7983596781749505,0.3939392745638541,2.815,-63426.25,2025-04-02 10:00:00+00:00,0
0.0325999999999999,0.0140000099999997,95296.66,-0.0122402044622189,-0.0031257728362503,179666.97799999962,3.2920677839594706e-05,0.0010000000000003,0.0099999999999997,2.8043175234356283,36.36361322315516,2.794769758631213,0.7142852040819926,2.795,-26731.619999999995,2025-04-02 11:00:00+00:00,0
0.0305999999999999,0.0370000099999999,95336.46,-0.0088671977474872,0.0003576635419162,137873.9799999996,3.300411910689231e-05,0.0230000000000001,0.0,2.8046751869775446,60.576882304021375,2.7920773189734094,0.0,2.807,39.80000000000291,2025-04-02 12:00:00+00:00,0
0.0347999999999999,0.05600001,559139.71,-0.0063791701246622,0.0003099750696606,211451.1279999996,3.293989308557965e-05,0.0,0.0270000000000001,2.8049851620472053,73.25575432671152,2.7958079892300574,0.4821427710459357,2.834,463803.25,2025-04-02 13:00:00+00:00,0
0.0341999999999998,0.0310000099999996,141156.08,-0.0043159798323375,0.0005353117270394,202591.4379999996,3.27092873299545e-05,0.0030000000000001,0.0149999999999996,2.8055204737742447,63.49199294540481,2.798605991922543,0.4838708116545713,2.824,-417983.63,2025-04-02 14:00:00+00:00,0
0.0421999999999998,0.0730000099999999,675068.98,0.0038189598520848,0.0080639368301009,313199.57799999963,3.303454322828172e-05,0.056,0.0149999999999996,2.8135844106043457,83.62063919444184,2.801204493941907,0.205479423906924,2.881,533912.9,2025-04-02 15:00:00+00:00,0
0.0449999999999999,0.02800001,175953.42,0.0085127053185565,0.0064554119194206,329330.9299999996,3.2871924229640375e-05,0.0059999999999997,0.016,2.8200398225237664,78.09518603178071,2.8174033704564305,0.5714283673470116,2.884,-499115.56,2025-04-02 16:00:00+00:00,0
0.0477999999999998,0.0510000099999997,197320.2,0.0081298830278111,0.0019946903301648,349727.6779999996,3.273092649996253e-05,0.0270000000000001,0.0059999999999997,2.822034512853932,72.56632672882414,2.828552527842323,0.1176470357554795,2.868,21366.78,2025-04-02 17:00:00+00:00,0
0.0427999999999999,0.0310000100000001,93385.75,0.008193385771233,0.0023953982861426,256576.88599999965,3.291379066968206e-05,0.0069999999999996,0.0110000000000001,2.824429911140074,73.72876982191616,2.8301643958817424,0.3548385952133587,2.851,-103934.45,2025-04-02 18:00:00+00:00,0
0.0415999999999999,0.0250000099999999,56686.21,0.009361549695416,0.0036760118479901,239682.91199999963,3.281932501281357e-05,0.0109999999999996,0.0020000000000002,2.828105922988064,71.02799091626756,2.832623296911307,0.079999968000022,2.854,-36699.54,2025-04-02 19:00:00+00:00,0
0.0508,0.1190000100000002,1297347.61,0.0066588045896214,-0.0004141230650751,364138.6379999997,3.297922402279057e-05,0.0259999999999998,0.0550000000000001,2.827691799922989,56.71638828248383,2.83746747268348,0.4621848351105185,2.906,1240661.4,2025-04-02 20:00:00+00:00,1
0.057,0.0590000100000001,214165.32,0.0011800601178673,-0.0043589066563987,371781.0179999997,3.293815793086616e-05,0.032,0.004,2.82333289326659,45.67899260784263,2.8343506045126103,0.0677965986785424,2.831,-1083182.29,2025-04-02 21:00:00+00:00,1
0.0762,0.1470000099999998,1084766.08,-0.0170037924593686,-0.0204443857688785,549270.1939999997,3.223797079964294e-05,0.125,0.0,2.802888507497712,7.39130209829932,2.824512953384457,0.0,2.795,870600.76,2025-04-02 22:00:00+00:00,0
0.0828,0.06400001,395054.61,-0.0245231702192594,-0.0134518009996948,609603.9659999997,3.2745049492651696e-05,0.0329999999999999,0.0100000000000002,2.789436706498017,18.992242909081355,2.785884715038343,0.1562499755859448,2.712,-689711.4700000001,2025-04-02 23:00:00+00:00,0
0.0911999999999999,0.0670000099999997,314130.78,-0.0219433267558799,-0.0040582275330689,661092.8799999997,3.315008071245639e-05,0.0579999999999998,0.0,2.785378478964948,36.80554660976296,2.7649135362787574,0.0,2.759,-80923.82999999996,2025-04-03 00:00:00+00:00,0
0.0733999999999999,0.0300000100000002,270313.39,-0.0188349842794868,-0.0027171305286599,455686.0359999997,3.3010345310895374e-05,0.0060000000000002,0.012,2.782661348436288,37.02421248548492,2.763435152209068,0.3999998666667081,2.777,-43817.390000000014,2025-04-03 01:00:00+00:00,0
0.0667999999999999,0.0260000099999998,150067.55,-0.015253395527182,-0.0012881797915049,442866.48199999967,3.310332906320683e-05,0.008,0.0099999999999997,2.781373168644783,36.14034200061781,2.763826364156801,0.3846152366864421,2.783,-120245.84000000004,2025-04-03 02:00:00+00:00,0
0.0413999999999999,0.02000001,86172.16,-0.0139335829872782,-0.0028497558193043,243147.69799999963,3.306023898959285e-05,0.012,0.0030000000000001,2.7785234128254785,38.0073702563988,2.766119773117601,0.149999925000043,2.775,-63895.38999999999,2025-04-03 03:00:00+00:00,0
0.0338,0.0260000100000002,79993.89,-0.0126112520700978,-0.0024697883767306,180135.55399999965,3.303063232119178e-05,0.0,0.0090000000000003,2.776053624448748,42.73857679792374,2.7645898298382003,0.3461537130178125,2.769,-6178.270000000004,2025-04-03 04:00:00+00:00,0
0.0254,0.0250000099999999,100389.96,-0.0128480285715939,-0.0038738165931664,137387.3899999996,3.295988001499812e-05,0.0140000000000002,0.0049999999999998,2.772179807855581,79.84491791361032,2.76344237237865,0.1999999200000284,2.766,20396.070000000007,2025-04-03 05:00:00+00:00,0
0.0259999999999999,0.0330000099999999,137031.81,-0.0142069990118467,-0.005223974380744,110731.07399999964,3.290445967999721e-05,0.0150000000000001,0.0119999999999995,2.766955833474837,63.9639236263545,2.7593317792839875,0.3636362534435473,2.76,36641.84999999999,2025-04-03 06:00:00+00:00,0
0.0259999999999999,0.0260000099999998,194533.83,-0.0139167631642829,-0.0037274444633115,119624.32999999964,3.281939447677989e-05,0.0059999999999997,0.004,2.763228389011526,33.33329444448981,2.7527488344629907,0.1538460946745802,2.743,57502.01999999999,2025-04-03 07:00:00+00:00,0
0.0266,0.0230000100000001,129327.25,-0.0132642177578903,-0.0032304518682035,128255.34799999962,3.273183947560223e-05,0.0009999999999998,0.0150000000000001,2.7599979371433223,25.925892318287424,2.749311625847243,0.6521736294897279,2.754,-65206.57999999999,2025-04-03 08:00:00+00:00,1
