atr_5,candle_range,ema_14_prev,alt_btc_ratio,ema_divergence,volume_ma_5,ema_14_slope,low,high,volume,volume_slope,body_size,ema_7_slope,rsi_7,body_to_range,timestamp,binary_label
0.0046999999999999,0.0056500099999999,0.246492245122135,2.670426749675652e-06,-0.001701399897277,14167025.8,-0.000528299349618,0.23929,0.24494,14608348.0,-6187422.0,0.0027899999999999,-0.0005775152917466,33.64866690816598,0.4938044357443602,2025-03-06 15:00:00+00:00,1
0.005668,0.0076200099999999,0.245963945772517,2.6652553483686355e-06,-0.0021993435964181,15754456.2,-0.0010551927696689,0.23793,0.24555,15946139.0,1337791.0,0.0045299999999999,-0.00155313646881,30.00458976459062,0.594487408809173,2025-03-06 16:00:00+00:00,0
0.005252,0.00323001,0.2449087530028481,2.671615892086486e-06,-0.0025978622143125,15434834.0,-0.001083833733713,0.23548,0.23871,13537954.0,-2408185.0,0.0013,-0.0014823523516075,14.691888971446572,0.4024755341314792,2025-03-06 17:00:00+00:00,0
0.005304,0.00312001,0.243824919269135,2.6646413748703613e-06,-0.0029044705754668,14600356.6,-0.0010926559025513,0.2344,0.23752,8113572.0,-5424382.0,0.0011199999999999,-0.0013992642637056,14.722900759733292,0.3589732084191967,2025-03-06 18:00:00+00:00,0
0.0047439999999999,0.0041000099999999,0.2427322633665837,2.6746890016038195e-06,-0.0028727836577015,11937887.0,-0.0007936351155445,0.23451,0.23861,7483422.0,-630150.0,0.0012099999999999,-0.0007619481977792,25.95508452859564,0.2951212314116285,2025-03-06 19:00:00+00:00,0
0.0042199999999999,0.0030300099999999,0.2419386282510392,2.662573176122213e-06,-0.0027202610392307,10160759.8,-0.0006464837668052,0.23572,0.23875,5722712.0,-1760710.0,0.00031,-0.0004939611483344,28.79390138393643,0.1023098933666908,2025-03-06 20:00:00+00:00,0
0.0032679999999999,0.00286001,0.241292144484234,2.6420129198679104e-06,-0.002468612635917,8025804.8,-0.0004896192645645,0.23637,0.23923,5271364.0,-451348.0,0.00042,-0.0002379708612508,40.92441226807709,0.1468526333824019,2025-03-06 21:00:00+00:00,0
0.0035059999999999,0.0044200099999999,0.2408025252196694,2.6255164501139694e-06,-0.0022810874192325,7374602.8,-0.0004910033626225,0.23638,0.2408,10281944.0,5010580.0,0.0005199999999999,-0.0003034781459381,21.192600268155573,0.1176467926543141,2025-03-06 22:00:00+00:00,0
0.0034139999999999,0.0026600099999999,0.2403115218570468,2.6432225543130475e-06,-0.0020143264477466,6806697.0,-0.0003468695809395,0.23649,0.23915,5274043.0,-5007901.0,0.00059,-8.01086094535941e-05,46.90849389189586,0.2218036774297871,2025-03-06 23:00:00+00:00,0
0.0060339999999999,0.0172000099999999,0.2399646522761073,2.6419041352183498e-06,-0.0031446209346891,14831141.0,-0.0018672869701476,0.22428,0.24148,47605642.0,42331599.0,0.01178,-0.0029975814570901,16.14511075358243,0.6848833227422552,2025-03-07 00:00:00+00:00,0
0.0079319999999999,0.0125200099999999,0.2380973653059596,2.675953972096164e-06,-0.0025809916533788,19346001.2,-0.0002543153741279,0.22484,0.23736,28297013.0,-19308629.0,0.01023,0.0003093139071823,51.11717565034735,0.8170919991277992,2025-03-07 01:00:00+00:00,0
0.0083339999999999,0.00487001,0.2378430499318317,2.6970825929959303e-06,-0.0022347662320811,21030141.8,-0.0003417399909108,0.23528,0.24015,13692067.0,-14604946.0,0.0009,4.485430386752531e-06,46.97811085947784,0.1848045486559595,2025-03-07 02:00:00+00:00,0
0.0080379999999999,0.0029400099999999,0.2375013099409208,2.6785452559883894e-06,-0.002200060833835,20545569.6,-0.000598841325456,0.23283,0.23577,7859083.0,-5832984.0,0.0022699999999999,-0.0005641359272099,42.38226412402957,0.77210621732579,2025-03-07 03:00:00+00:00,0
0.0086979999999999,0.0059600099999999,0.2369024686154647,2.7057247096269686e-06,-0.0016246669638471,22180183.4,2.900418460471954e-05,0.23243,0.23839,13447112.0,5588029.0,0.00409,0.0006043980545925,49.17643470519008,0.6862404593280909,2025-03-07 04:00:00+00:00,0
