volume_ma_5,volume,atr_5,alt_btc_ratio,ema_14_prev,candle_range,ema_divergence,upper_wick,rsi_7_prev,low,upper_wick_ratio,ema_14_slope,ema_7_prev,volume_slope,ema_7,timestamp,binary_label
853098.7840000007,722378.99,0.034,2.033633329555577e-05,1.8718654301101805,0.0330000100000001,0.0223018900163745,0.0010000000000001,52.44752677393791,1.888,0.0303030211202998,0.0064179426519759,1.894113683704708,105552.68999999994,1.900585262778531,2024-12-24 04:00:00+00:00,0
837661.8380000008,886733.0,0.0322,2.040038449968216e-05,1.878283372762156,0.02200001,0.0227600240233625,0.006,49.99997426471913,1.914,0.2727271487603869,0.0068955502983791,1.900585262778531,164354.01,1.9079389470838977,2024-12-24 05:00:00+00:00,0
790834.0360000007,799745.01,0.0308,2.0166315672687703e-05,1.885178923060536,0.04200001,0.0180991436604593,0.002,41.37928537456917,1.89,0.0476190362811818,0.0011761435919286,1.9079389470838977,-86987.98999999999,1.904454210312924,2024-12-24 06:00:00+00:00,0
785444.3400000008,901538.4,0.03,2.0099075495587065e-05,1.886355066652464,0.03000001,0.0144662666358903,0.018,36.92305704143082,1.882,0.5999998000000666,0.0010193244463381,1.904454210312924,101793.39,1.9018406577346925,2024-12-24 07:00:00+00:00,0
784411.9840000008,611664.52,0.0308,2.018079751083037e-05,1.887374391098802,0.0270000100000001,0.0131393543487241,0.006,39.99997666668028,1.886,0.222222139917725,0.002616747853493,1.9018406577346925,-289873.88,1.90313049330102,2024-12-24 08:00:00+00:00,0
748555.8420000008,543098.28,0.03,2.0144999346749232e-05,1.8899911389522952,0.0290000099999999,0.0104388828837751,0.0029999999999998,62.88655255609613,1.881,0.1034482401902585,0.000667848139694,1.90313049330102,-68566.23999999999,1.9010978699757644,2024-12-24 09:00:00+00:00,0
651876.6920000007,403337.25,0.0294,2.008044735874012e-05,1.8906589870919888,0.0190000100000001,0.0074022803354325,0.004,53.39802196250941,1.88,0.2105262049862066,-0.0004878649455983,1.9010978699757644,-139761.03000000003,1.897573402481824,2024-12-24 10:00:00+00:00,1
590440.2300000008,492562.7,0.0264,2.023335091833989e-05,1.8901711221463908,0.0270000099999999,0.0078650793344954,0.0,41.052601329662245,1.883,0.0,0.0026438503804813,1.897573402481824,89225.45000000001,1.900680051861368,2024-12-24 11:00:00+00:00,0
582880.0200000007,863737.35,0.0266,2.011572746614365e-05,1.892814972526872,0.0310000099999999,0.0063870627060698,0.0029999999999998,45.09800826607276,1.881,0.0967741623309121,0.0005580036630836,1.900680051861368,371174.65,1.8997600388960256,2024-12-24 12:00:00+00:00,1
754643.2180000007,1470480.51,0.033,2.029452665982689e-05,1.893372976189956,0.0590000100000001,0.0113967831407242,0.0010000000000001,34.2856914285867,1.892,0.0169491496696375,0.0075502698413392,1.8997600388960256,606743.16,1.91232002917202,2024-12-24 13:00:00+00:00,0
973440.1060000006,1637082.72,0.0334,2.0027689922932383e-05,1.900923246031295,0.0310000100000001,0.0145065419852254,0.0110000000000001,72.95077781512752,1.932,0.3548385952133587,0.006810233862494,1.91232002917202,166602.20999999996,1.9222400218790143,2024-12-24 14:00:00+00:00,0
1162426.9540000006,1348271.49,0.037,1.996948118006104e-05,1.907733479893789,0.0370000100000001,0.0173276671679769,0.014,73.38705534601718,1.94,0.3783782761139783,0.0073688693474949,1.9222400218790143,-288811.23,1.932430016409261,2024-12-24 15:00:00+00:00,0
1270132.5940000007,1031090.9,0.0394,1.976725403601742e-05,1.915102349241284,0.0390000099999999,0.0167171429644994,0.018,72.95077781512752,1.941,0.4615383431952979,0.0042530201011623,1.932430016409261,-317180.59,1.936072512306945,2024-12-24 16:00:00+00:00,0
1188755.6420000007,456852.59,0.0368,1.980819954195184e-05,1.9193553693424463,0.01800001,0.0169297308000893,0.0029999999999998,70.6348813933199,1.942,0.1666665740741193,0.0050192840876737,1.936072512306945,-574238.31,1.941304384230209,2024-12-24 17:00:00+00:00,0
1058182.916000001,817616.88,0.0318,1.980355441860597e-05,1.92437465343012,0.03400001,0.016036921866553,0.0290000000000001,77.3437077026599,1.951,0.8529409256056133,0.003816712875984,1.941304384230209,360764.29,1.9442282881726567,2024-12-24 18:00:00+00:00,0
835303.4180000008,522685.23,0.03,1.981941378191205e-05,1.928191366306104,0.02200001,0.0127053653308693,0.0010000000000001,69.72472586485502,1.933,0.0454545247934028,0.0007744844925194,1.9442282881726567,-294931.65,1.941671216129493,2024-12-24 19:00:00+00:00,0
770440.7840000007,1023958.32,0.0299999999999999,1.968180027525743e-05,1.928965850798624,0.0370000099999999,0.0078996747383124,0.004,66.08691629492046,1.901,0.1081080788897087,-0.0018621134398162,1.941671216129493,501273.09,1.93500341209712,2024-12-24 20:00:00+00:00,0
655493.2640000007,456353.3,0.0299999999999999,1.9807321208691723e-05,1.927103737358808,0.0390000099999999,0.00847932002854,0.0029999999999998,28.395037189474124,1.913,0.0769230571992134,0.0029195016854923,1.93500341209712,-567605.02,1.93850255907284,2024-12-24 21:00:00+00:00,0
658248.1280000007,470626.91,0.0301999999999999,1.972116819372424e-05,1.9300232390443,0.0190000099999999,0.0084567787995701,0.0069999999999998,48.67253622055284,1.937,0.3684208587258601,0.0023969014607601,1.93850255907284,14273.609999999986,1.94087691930463,2024-12-24 22:00:00+00:00,0
585336.6500000006,453059.49,0.0265999999999999,1.977426726255017e-05,1.93242014050506,0.01600001,0.0085102343740874,0.0089999999999998,42.71841757000743,1.944,0.5624996484377127,0.0024773145993253,1.94087691930463,-17567.419999999984,1.9434076894784729,2024-12-24 23:00:00+00:00,0
627145.4440000007,731729.2,0.0269999999999999,1.98235249051956e-05,1.9348974551043847,0.02400001,0.0082613060183873,0.012,52.222181604969855,1.94,0.4999997916667534,0.0021470059860819,1.9434076894784729,278669.71,1.9453057671088545,2024-12-25 00:00:00+00:00,0
500430.1560000007,390381.88,0.0226,1.9901374909448743e-05,1.9370444610904671,0.0150000100000001,0.0077074590532362,0.008,46.24995953128542,1.944,0.5333329777780109,0.0017274051879376,1.9453057671088545,-341347.31999999995,1.946479325331641,2024-12-25 01:00:00+00:00,0
530299.1640000007,605698.34,0.0188,1.98408108665278e-05,1.9387718662784048,0.02000001,0.0067405432241132,0.004,48.05190436839856,1.934,0.19999990000005,0.0010970844962128,1.946479325331641,215316.46,1.9466094939987308,2024-12-25 02:00:00+00:00,0
524778.1100000007,443021.64,0.0204,1.978996522270648e-05,1.9398689507746176,0.0270000100000001,0.0050706964943794,0.0090000000000001,60.65566810005308,1.928,0.3333332098765916,1.747323005107937e-05,1.9466094939987308,-162676.69999999995,1.944957120499048,2024-12-25 03:00:00+00:00,0
535283.6380000007,505587.13,0.0218,1.978907734546629e-05,1.9398864240046687,0.0230000100000001,0.0042829395702399,0.0090000000000001,75.51009621006635,1.93,0.3913041776938387,0.0005484767993775,1.944957120499048,62565.48999999999,1.9447178403742864,2024-12-25 04:00:00+00:00,0
466579.2460000008,388207.24,0.0198,1.9841415199622952e-05,1.9404349008040465,0.01400001,0.0043281329172077,0.006,36.84196952958588,1.942,0.4285711224491982,0.0012753465594605,1.9447178403742864,-117379.89,1.9460383802807144,2024-12-25 05:00:00+00:00,0
487393.1400000008,494451.35,0.022,1.977843655954096e-05,1.9417102473635068,0.02600001,0.0025799041621632,0.0089999999999998,54.16650868101631,1.934,0.3461537130177984,-0.0007613663151342,1.9460383802807144,106244.11,1.943528785210536,2024-12-25 06:00:00+00:00,0
469148.9440000008,514477.36,0.0242,1.9625968796442817e-05,1.9409488810483728,0.0310000100000001,7.422533264578313e-05,0.0170000000000001,28.571371428685623,1.922,0.5483869198751887,-0.0021265174731164,1.943528785210536,20026.01000000001,1.938896588907902,2024-12-25 07:00:00+00:00,0
443888.8400000008,316721.12,0.0234,1.9690075559517816e-05,1.938822363575256,0.0230000099999999,-0.0008569400842957,0.0129999999999999,21.739097353547507,1.921,0.5652171455577607,-0.0010429818100339,1.938896588907902,-197756.24,1.9369224416809263,2024-12-25 08:00:00+00:00,0
445714.8520000008,514717.19,0.0217999999999999,1.965586151029937e-05,1.9377793817652225,0.0150000099999999,-0.0015502996024976,0.0049999999999998,31.372505959305613,1.921,0.3333331111112543,-0.0010372509020297,1.9369224416809263,197996.07,1.9351918312606948,2024-12-25 09:00:00+00:00,0
656232.8500000008,1440797.23,0.0302,1.9653249641975684e-05,1.9367421308631925,0.05600001,-0.0013659733025788,0.0449999999999999,32.65301457732605,1.924,0.8035712850765542,-0.0002322841150923,1.9351918312606948,926080.04,1.9351438734455213,2024-12-25 10:00:00+00:00,0
779978.5220000008,1113179.71,0.0344,1.9446905097571066e-05,1.9365098467481,0.0470000100000001,-0.0048172954308791,0.012,44.68078451798063,1.9,0.255319094612958,-0.0043346462330799,1.9351438734455213,-327617.52,1.927357905084141,2024-12-25 11:00:00+00:00,0
856744.9960000006,898309.73,0.0342,1.951596535325374e-05,1.93217520051502,0.03000001,-0.0055000782999117,0.0090000000000001,22.97295124180296,1.895,0.299999900000037,-0.0021566934020025,1.927357905084141,-214869.98,1.9245184288131056,2024-12-25 12:00:00+00:00,0
891110.8460000006,488550.37,0.0334,1.954042226811897e-05,1.9300185071130176,0.0190000100000001,-0.004827217888119,0.0050000000000001,28.749974843772065,1.91,0.2631577562327641,-0.000802467615069,1.9245184288131056,-409759.36,1.9243888216098293,2024-12-25 13:00:00+00:00,0
883815.3640000006,478239.78,0.0346,1.9481308884611487e-05,1.9292160394979485,0.0210000099999999,-0.0043456180241832,0.014,41.8918522644641,1.917,0.6666663492065038,-0.0008288052663931,1.9243888216098293,-10310.589999999967,1.924041616207372,2024-12-25 14:00:00+00:00,0
781518.6480000007,929313.65,0.0298,1.932602909582401e-05,1.928387234231556,0.03200001,-0.0061043908451523,0.0029999999999998,48.437447021542326,1.894,0.0937499707031306,-0.0032516312308739,1.924041616207372,451073.87,1.919031212155529,2024-12-25 15:00:00+00:00,0
700648.9780000008,708831.36,0.0264,1.929377861491396e-05,1.9251356030006808,0.03000001,-0.007627446817277,0.006,32.4675029516207,1.881,0.1999999333333555,-0.0034847470667576,1.919031212155529,-220482.29000000004,1.9140234091166468,2024-12-25 16:00:00+00:00,0
597203.4840000009,381082.26,0.024,1.935664124535029e-05,1.921650855933924,0.01800001,-0.0073131849719154,0.0010000000000001,30.86417085812404,1.891,0.0555555246913813,-0.001820114124523,1.9140234091166468,-327749.1,1.9125175568374853,2024-12-25 17:00:00+00:00,0
551930.4220000008,262185.06,0.023,1.933042016779493e-05,1.9198307418094007,0.01400001,-0.0067484752733668,0.0069999999999998,34.11761896196077,1.902,0.49999964285739,-0.00144409890792,1.9125175568374853,-118897.2,1.9116381676281136,2024-12-25 18:00:00+00:00,0
518282.0420000007,309997.88,0.0224,1.9390312034556765e-05,1.9183866429014809,0.01800001,-0.0048731314601979,0.0030000000000001,54.5453851240554,1.905,0.1666665740741316,0.0002151142798025,1.9116381676281136,47812.82000000001,1.9137286257210853,2024-12-25 19:00:00+00:00,0
422435.4840000008,450080.86,0.0228,1.915383810034271e-05,1.9186017571812832,0.03400001,-0.0059417202662983,0.008,53.70363408788175,1.894,0.2352940484429269,-0.0026135676241709,1.9137286257210853,140082.97999999998,1.910046469290814,2024-12-25 20:00:00+00:00,0
376592.7020000008,479617.45,0.0217999999999999,1.926779144006539e-05,1.9159881895571125,0.0250000099999999,-0.0065549123147203,0.0109999999999998,31.343250835409563,1.885,0.4399998240000679,-0.0023984252742814,1.910046469290814,29536.590000000026,1.9070348519681104,2024-12-25 21:00:00+00:00,0
360143.8040000008,298837.77,0.0226,1.925895819864881e-05,1.9135897642828308,0.02200001,-0.0061516567357038,0.01,31.343250835409464,1.891,0.4545452479339781,-0.001411968571044,1.9070348519681104,-180779.68,1.9060261389760829,2024-12-25 22:00:00+00:00,0
366008.0760000008,291506.42,0.0236,1.931014506746482e-05,1.9121777957117867,0.0190000100000001,-0.0037011520514864,0.0010000000000001,49.05653898192976,1.902,0.0526315512465575,0.0010429605717618,1.9060261389760829,-7331.350000000035,1.909519604232062,2024-12-25 23:00:00+00:00,0
463332.3240000008,796619.12,0.027,1.925705144349121e-05,1.9132207562835488,0.0350000099999999,-0.0035016189383623,0.016,66.15377491131926,1.901,0.4571427265306509,-0.0008294341711396,1.909519604232062,505112.7,1.9088897031740464,2024-12-26 00:00:00+00:00,0
