volume_ma_5,volume,atr_5,candle_range,ema_divergence,body_size,alt_btc_ratio,ema_14_prev,rsi_7_prev,volume_slope,body_to_range,rsi_7,ema_14_slope,upper_wick_ratio,upper_wick,timestamp,binary_label
10548262.8,1789083.0,0.00406,0.0012000099999999,-0.001242131146494,0.0007,9.188442049829798e-06,0.5840230011865024,33.54823558861321,-6966412.0,0.5833284722627697,40.689458740543934,-0.0001630668248668,0.1666652777893363,0.0001999999999999,2024-09-26 04:00:00+00:00,0
6609954.0,2819601.0,0.0025,0.00290001,-0.0008685907020613,0.0017,9.189546183602228e-06,0.5838599343616355,40.689458740543934,1030518.0,0.5862048751556121,48.07670734810828,7.200875178192678e-05,0.2758611177202903,0.0008,2024-09-26 05:00:00+00:00,0
5962622.0,12415546.0,0.0020199999999999,0.0022000099999999,-0.0005151697231113,0.0006999999999999,9.182147056220287e-06,0.5839319431134175,48.07670734810828,9595945.0,0.3181803719073683,56.94416763251847,0.000155740918211,0.3636347107513285,0.0008,2024-09-26 06:00:00+00:00,0
9611571.2,22278131.0,0.00272,0.00530001,0.0001050595706432,0.0030999999999999,9.2134836035856e-06,0.5840876840316285,56.94416763251847,9862585.0,0.5849045567838445,95.79775581152002,0.0005616421291161,0.1886788892851117,0.001,2024-09-26 07:00:00+00:00,0
8782618.0,4610729.0,0.00288,0.00280001,0.0003063732925621,0.0015999999999999,9.207418045974306e-06,0.5846493261607446,95.79775581152002,-17667402.0,0.5714265306195052,77.77722783778259,0.000260089845234,0.1071424744911894,0.0003,2024-09-26 08:00:00+00:00,0
10391187.0,9831928.0,0.00304,0.00200001,0.0004853481020574,0.0004999999999999,9.202482836452551e-06,0.5849094160059787,77.77722783778259,5221199.0,0.2499987500062222,75.28030678410329,0.0002920778658694,0.5999970000150443,0.0012,2024-09-26 09:00:00+00:00,0
12489675.6,13312044.0,0.00334,0.0044000099999999,0.0009705034581607,0.0033,9.168842273705162e-06,0.5852014938718482,75.28030678410329,3480116.0,0.7499982954584447,85.46957411365905,0.0006931341504202,0.1818177685959621,0.0007999999999999,2024-09-26 10:00:00+00:00,0
11775384.0,8844088.0,0.00336,0.0023000099999999,0.0011718376576892,0.0007,9.157686920782514e-06,0.5858946280222684,85.46957411365905,-4467956.0,0.3043465028413109,79.4867039257027,0.0005073829303642,0.3043465028412626,0.0006999999999999,2024-09-26 11:00:00+00:00,0
9114723.2,8974827.0,0.00272,0.0021000100000001,0.0012169769654597,0.0004999999999999,9.13901003414606e-06,0.5864020109526327,79.4867039257027,130739.0,0.2380941043137512,73.33284444770361,0.000386398539649,0.2380941043138041,0.0005,2024-09-26 12:00:00+00:00,0
10065051.0,9362368.0,0.00288,0.00360001,0.0012407516166619,0.0004,9.151270848592565e-06,0.5867884094922817,73.33284444770361,387541.0,0.1111108024700102,72.27672679496285,0.0003748787343624,0.4999986111149691,0.0018,2024-09-26 13:00:00+00:00,0
10991682.8,14465087.0,0.00324,0.00380001,0.0011915134193879,0.0001999999999999,9.148389548174482e-06,0.5871632882266442,72.27672679496285,5102719.0,0.0526314404435716,57.745909547370594,0.0002982282364474,0.8684187673190196,0.0032999999999999,2024-09-26 14:00:00+00:00,0
11408359.0,15395425.0,0.00354,0.00590001,0.0015164581438469,0.0033999999999999,9.08797815941767e-06,0.5874615164630916,57.745909547370594,930338.0,0.5762702097115003,85.22659478845078,0.0007117978049211,0.2203386095955709,0.0012999999999999,2024-09-26 15:00:00+00:00,0
11919534.6,11399966.0,0.00386,0.00390001,0.0015954569432835,0.0007,9.062107808625914e-06,0.5881733142680128,85.22659478845078,-3995459.0,0.1794867192648304,77.77717284421121,0.0005235580975984,0.6666649572693498,0.0026,2024-09-26 16:00:00+00:00,0
12024178.8,9498048.0,0.00448,0.00520001,0.001488624264808,0.0009,9.076876166659552e-06,0.5886968723656112,77.77717284421121,-1901918.0,0.1730765902373256,56.06001148472607,0.0003337503512519,0.8269214866894495,0.0043,2024-09-26 17:00:00+00:00,0
11292561.2,5704280.0,0.00434,0.00290001,0.0016612288816386,0.0023999999999999,9.093900148149238e-06,0.5890306227168631,56.06001148472607,-3793768.0,0.8275833531608328,73.80890873528448,0.0006225836377515,0.0,0.0,2024-09-26 18:00:00+00:00,0
9240085.2,4202707.0,0.00408,0.0025000099999999,0.0015897142531905,0.0010999999999999,9.157630859392509e-06,0.5896532063546147,73.80890873528448,-1501573.0,0.4399982400070453,68.1313440446061,0.0003929058193847,0.4399982400070453,0.0010999999999999,2024-09-26 19:00:00+00:00,0
7333192.0,5860959.0,0.0039,0.00500001,0.0010585726029262,0.0036,9.107039963033677e-06,0.5900461121739995,68.1313440446061,1658252.0,0.7199985600028889,47.199735681480064,-0.0001528149565331,0.2599994800010333,0.0012999999999999,2024-09-26 20:00:00+00:00,0
5971162.6,4589819.0,0.00378,0.0033000099999999,0.0010163781101569,0.0029,9.0973375146037e-06,0.5898932972174663,47.199735681480064,-1271140.0,0.8787852158023886,57.89447022283431,0.0002542270376711,0.0303029384759409,9.9999999999989e-05,2024-09-26 21:00:00+00:00,0
5097580.6,5130138.0,0.0032599999999999,0.0026000099999999,0.0008384057528517,0.001,9.077174884495714e-06,0.5901475242551375,57.89447022283431,540319.0,0.3846139053311432,42.18726928837116,8.699676598167283e-05,0.4999980769304734,0.0012999999999999,2024-09-26 22:00:00+00:00,0
4965583.8,5044296.0,0.0034399999999999,0.00380001,0.0006597768621748,0.0001999999999999,9.060362884027816e-06,0.5902345210211192,42.18726928837116,-85842.0,0.0526314404435716,43.54814126049319,3.5397197184150464e-05,0.0263157202217858,9.9999999999989e-05,2024-09-26 23:00:00+00:00,0
6277703.4,10763305.0,0.0034399999999999,0.0025000099999999,0.0003700088544957,0.0013,9.030995074030554e-06,0.5902699182183033,43.54814126049319,5719009.0,0.5199979200083626,42.18726928837116,-0.0001426557624404,0.2399990400038186,0.0005999999999999,2024-09-27 00:00:00+00:00,0
7608495.8,12514921.0,0.0033199999999999,0.0044000099999999,-5.673978978881777e-06,0.0014999999999999,9.024891008739263e-06,0.5901272624558629,42.18726928837116,1751616.0,0.3409083161174542,24.57612539586634,-0.000323634994115,0.3181810950429841,0.0014,2024-09-27 01:00:00+00:00,0
9223052.8,12662604.0,0.0036199999999999,0.00480001,-0.0007163453547714,0.004,8.996869822985006e-06,0.5898036274617479,24.57612539586634,147683.0,0.8333315972258353,19.72779721457113,-0.0008138169948996,0.1249997395838845,0.0006,2024-09-27 02:00:00+00:00,0
9849925.8,8264503.0,0.0039799999999999,0.0044000099999999,-0.0008394035705442,0.0026,8.971023319306165e-06,0.5889898104668482,19.72779721457113,-4398101.0,0.5909077479369526,40.87570355479958,-0.0003453080622464,0.090908884297981,0.0003999999999999,2024-09-27 03:00:00+00:00,0
9759961.2,4594473.0,0.0038799999999999,0.0033000099999999,-0.0005764112917784,0.0025999999999999,9.020892454301392e-06,0.5886445024046018,40.87570355479958,-3670030.0,0.7878764003745321,39.99979259366787,6.073301271980469e-05,0.1515146923797384,0.0005,2024-09-27 04:00:00+00:00,0
9235218.0,8139589.0,0.0042199999999999,0.0042000099999999,-7.125260085472096e-05,0.0027,9.05521847129918e-06,0.5887052354173216,39.99979259366787,3545116.0,0.6428556122485536,53.28922827329085,0.0004126352776905,0.0,0.0,2024-09-27 05:00:00+00:00,0
9038433.2,11530997.0,0.0043599999999999,0.0051000099999999,-0.0001838576983924,0.0037,8.998422062416911e-06,0.5891178706950121,53.28922827329085,3391408.0,0.7254887735514325,43.31534587838427,-0.0001490494260015,0.1960780469057908,0.001,2024-09-27 06:00:00+00:00,0
7800209.0,6471483.0,0.0039999999999999,0.00300001,-9.92557551788842e-05,0.0013,9.002441490240914e-06,0.5889688212690105,43.31534587838427,-5059514.0,0.4333318888937296,50.26719151318713,4.41571641319749e-05,0.1666661111129444,0.0004999999999999,2024-09-27 07:00:00+00:00,0
7652018.6,7523551.0,0.0037399999999999,0.0031000099999999,8.737736641595273e-05,0.0010999999999999,8.982747920571451e-06,0.5890129784331425,50.26719151318713,1052068.0,0.3548375650401105,57.37682970611594,0.0001849362089143,0.5806432882474307,0.0017999999999999,2024-09-27 08:00:00+00:00,0
